BILL OF MATERIALS - EDITED CART,,,,,
,,,,,
#,Item Description,Quantity,Unit Price (BDT),Line Total (BDT),Aliexpress cart
1,VEROBOARD DOT TYPE,6,45,270,https://share-a-cart.com/share/LZ457
2,DESOLDERING BRAID SOLDER REMOVER WICK 3MM X 1.5M,1,280,280,Total: 116.30 USD / 14259.18 BDT
3,MT3608 2A MAX DC-DC STEP UP BOOSTER POWER MODULE,4,160,640,
4,18650 LITHIUM BATTERY CHARGER USB TYPE-C,4,170,680,
5,18650 GENERIC 3.7V LI-ION BATTERY - BUTTON TOP,4,170,680,
6,MALE TO MALE JUMPER WIRES 40 PIN 30CM,2,160,320,
7,FEMALE TO FEMALE JUMPER WIRES 40 PIN 30CM,2,140,280,
8,1 METER ELECTRICAL FLEXIBLE CABLE/WIRE - GREEN,2,25,50,
9,1 METER ELECTRICAL FLEXIBLE CABLE/WIRE - BLUE,2,28,56,
10,1 METER ELECTRICAL FLEXIBLE CABLE/WIRE - YELLOW,2,28,56,
11,1 METER ELECTRICAL FLEXIBLE CABLE/WIRE - GREY,2,28,56,
12,3 WATT 8 OHM MINI SPEAKER FOR ELECTRONICS PROJECT WITH JST-PH2.0 INTERFACE,2,350,700,
13,12 X 12MM TACT TACTILE SWITCHES CAP ROUND PUSH BUTTON COVER,2,5,10,
14,MOMENTARY TACTILE PUSH BUTTON SWITCH 12 X 12MM X 12MM,2,11,22,
15,PREMIUM 60/40 SN PB TIN SOLDERING LEAD WITH ROSIN 20G LOW MELTING POINT,2,145,290,
16,2.4GHZ DUCK ANTENNA RP-SMA - 7.75 INCH MALE,2,350,700,
17,MAX98357A I2S DAC CLASS D MONO AMPLIFIER MODULE,2,750,"1,500",
18,ESP32 WROOM-32U CP2102 DEVELOPMENT BOARD MICRO USB,2,"1,050","2,100",
19,INMP441 OMNIDIRECTIONAL MICROPHONE MODULE ORIGINAL,2,900,"1,800",
20,5X5X7MM SQUARE HEAD RED LED,10,9,90,
21,3300UF 16V ELECTROLYTIC CAPACITOR,10,12,120,
22,RP-SMA TO U.FL ADAPTER RF CABLE - FEMALE 150MM,2,200,400,
23,FEMALE PIN HEADER 2.54MM PITCH - WHITE,6,20,120,
24,ROCKER SWITCH KCD11 ON/OFF SWITCH (MINI) RED,4,6,24,
SUBTOTAL (ITEMS),,,,"11,244",
SHIPPING FEE,,,,992,
GRAND TOTAL,,,,"12,236",
TOTAL USD,,,,105,
