BILL OF MATERIALS — WALKIE TALKIE PROJECT,,,,
,,,,
#,Item Description,Quantity,Total Price (USD),Aliexpress Link
1,VEROBOARD DOT TYPE,6,$3,https://www.aliexpress.com/item/1005012158303665.html?gatewayAdapt=4itemAdapt
2,MT3608 2A MAX DC-DC STEP UP BOOSTER POWER MODULE,5 (bundle),$6,https://www.aliexpress.com/item/1005012158271211.html?gatewayAdapt=4itemAdapt
3,18650 LITHIUM BATTERY CHARGER USB TYPE-C,5 (bundle),$4,https://www.aliexpress.com/item/1005012023753266.html?spm=a2g0o.productlist.main.1.42ac4f00uRRwVf&algo_pvid=6ee235e1-9a38-4e73-b1bb-3e87314466f7&pdp_ext_f=%7B%22order%22%3A%22755%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012023753266%7C_p_origin_prod%3A
4,18650 GENERIC 3.7V LI-ION BATTERY - BUTTON TOP,4,$11,https://www.aliexpress.com/item/1005012946452793.html?spm=a2g0o.productlist.main.7.421159c1FjjpDz&algo_pvid=14c993d8-b0ae-4c1f-b862-66f72ee5c869&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012946452793%7C_p_origin_prod%3A
5,MALE TO MALE JUMPER WIRES 40 PIN 30CM,2,$8,https://www.aliexpress.com/item/1005009741771008.html?gatewayAdapt=4itemAdapt
6,3 WATT 8 OHM MINI SPEAKER FOR ELECTRONICS PROJECT WITH JST-PH2.0 INTERFACE,2,$1,https://www.aliexpress.com/item/1005005699690954.html?spm=a2g0o.productlist.main.3.559b24MB24MBGn&algo_pvid=b55ab0da-4b09-4499-87a2-01cbb0ad6a3c&pdp_ext_f=%7B%22order%22%3A%227764%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005699690954%7C_p_origin_prod%3A
7,MOMENTARY TACTILE PUSH BUTTON SWITCH 12 X 12MM X 12MM,20 (bundle),$6,https://www.aliexpress.com/item/4000278832965.html?gatewayAdapt=4itemAdapt
8,2.4GHZ DUCK ANTENNA RP-SMA - 7.75 INCH MALE,2,$13,https://www.aliexpress.com/item/32787855982.html?gatewayAdapt=4itemAdapt
9,MAX98357A I2S DAC CLASS D MONO AMPLIFIER MODULE,2,$11,https://www.aliexpress.com/item/3256810087074008.html
10,ESP32 WROOM-32U CP2102 DEVELOPMENT BOARD MICRO USB,2,$27,https://www.aliexpress.com/item/1005009640200327.html?gatewayAdapt=4itemAdapt
11,INMP441 OMNIDIRECTIONAL MICROPHONE MODULE ORIGINAL,2,$2,https://www.aliexpress.com/item/1005012438620524.html?gatewayAdapt=4itemAdapt
12,3300UF 16V ELECTROLYTIC CAPACITOR,10 (bundle),$1,https://www.aliexpress.com/item/1005001627492009.html?gatewayAdapt=4itemAdapt
13,RP-SMA TO U.FL ADAPTER RF CABLE - FEMALE 150MM,2 (bundle),$6,https://www.aliexpress.com/item/1005009270045616.html?gatewayAdapt=4itemAdapt
14,ROCKER SWITCH KCD11 ON/OFF SWITCH (MINI) RED,2,$5,https://www.aliexpress.com/item/1005009323738855.html?gatewayAdapt=4itemAdapt
,,,,
GRAND TOTAL,,,$104,
